iter	Passed	Remaining
0	2	14455
1	3	13803
2	6	14307
3	8	14108
4	10	14019
5	12	14830
6	14	14747
7	16	14668
8	19	15138
9	22	15385
10	24	15304
11	26	15500
12	28	15426
13	30	15407
14	32	15357
15	34	15238
16	37	15280
17	39	15163
18	41	15233
19	43	15273
20	46	15345
21	48	15368
22	50	15314
23	52	15382
24	54	15322
25	57	15371
26	59	15325
27	61	15264
28	63	15255
29	65	15279
30	67	15282
31	69	15209
32	74	15729
33	78	16027
34	82	16430
35	88	17114
36	90	17010
37	92	16974
38	99	17724
39	106	18578
40	113	19284
41	119	19863
42	126	20418
43	129	20548
44	133	20614
45	138	20960
46	140	20828
47	142	20668
48	145	20581
49	147	20475
50	149	20373
51	151	20283
52	153	20164
53	155	20046
54	158	20003
55	160	19899
56	162	19804
57	165	19758
58	167	19703
59	169	19613
60	171	19523
61	173	19441
62	175	19356
63	177	19276
64	179	19203
65	182	19140
66	184	19058
67	186	18975
68	188	18896
69	190	18812
70	192	18742
71	194	18703
72	198	18823
73	201	18827
74	204	18877
75	206	18854
76	210	18917
77	213	18911
78	215	18850
79	217	18785
80	219	18716
81	221	18650
82	223	18587
83	225	18532
84	227	18538
85	230	18510
86	232	18466
87	234	18431
88	241	18724
89	244	18760
90	247	18796
91	252	18960
92	254	18933
93	258	18977
94	261	18977
95	263	18951
96	265	18896
97	269	18947
98	271	18893
99	274	18922
100	276	18872
101	278	18846
102	280	18789
103	282	18742
104	284	18701
105	288	18746
106	290	18719
107	294	18817
108	297	18827
109	300	18808
110	304	18916
111	311	19181
112	318	19415
113	325	19656
114	329	19730
115	331	19691
116	334	19690
117	338	19717
118	340	19676
119	343	19693
120	347	19744
121	349	19684
122	355	19872
123	360	19993
124	364	20023
125	370	20220
126	374	20289
127	379	20390
128	386	20562
129	391	20686
130	396	20795
131	402	20929
132	405	20911
133	409	20989
134	413	21020
135	417	21055
136	421	21092
137	423	21067
138	425	21015
139	430	21095
140	433	21105
141	438	21170
142	445	21370
143	448	21341
144	452	21412
145	455	21377
146	461	21525
147	464	21528
148	467	21512
149	471	21529
150	474	21502
151	477	21531
152	480	21499
153	485	21594
154	488	21569
155	495	21716
156	498	21729
157	501	21704
158	502	21640
159	505	21589
160	507	21550
161	510	21547
162	512	21513
163	514	21461
164	516	21401
165	519	21379
166	521	21332
167	525	21387
168	528	21380
169	530	21326
170	533	21309
171	535	21269
172	538	21251
173	541	21230
174	543	21215
175	548	21249
176	550	21224
177	555	21293
178	558	21281
179	560	21241
180	563	21229
181	566	21228
182	572	21343
183	576	21357
184	582	21453
185	587	21539
186	590	21514
