iter	Accuracy	Logloss
0	0.7506867283	0.68161706
1	0.7586495348	0.6699825204
2	0.7830492892	0.6553752358
3	0.7910876491	0.6451021766
4	0.7796223958	0.6355548915
5	0.7761374878	0.6250524468
6	0.7668619386	0.616557644
7	0.7840773572	0.6088485177
8	0.7838857746	0.6036282898
9	0.7800001627	0.5976029279
10	0.782666124	0.5902599077
11	0.78137092	0.5836439438
12	0.7805519734	0.5791601802
13	0.7837522066	0.5699659179
14	0.7785713907	0.5651473689
15	0.7793903374	0.5591871845
16	0.7831423813	0.5553908376
17	0.7810282307	0.5504853162
18	0.7785713907	0.5458134934
19	0.777752444	0.5417689535
20	0.7885323186	0.5360735801
21	0.787713372	0.5331826108
22	0.7909891586	0.5299464532
23	0.787713372	0.5254405929
24	0.7942649453	0.5211888664
25	0.7971980426	0.5171772727
26	0.7933124306	0.5124053855
27	0.7965882173	0.5083393797
28	0.7939978093	0.5049255567
29	0.7993877466	0.5020352001
30	0.7998640039	0.4960588729
31	0.7969309066	0.4938905841
32	0.8006829506	0.4908570735
33	0.8034824799	0.4868197723
34	0.8031397906	0.483542385
35	0.8054630626	0.4807740598
36	0.8041678586	0.4767700756
37	0.8051203733	0.4740654343
38	0.8088724172	0.4705303332
39	0.8093486746	0.4683774159
40	0.8101676212	0.4668074137
41	0.8146050439	0.4645643631
42	0.8126244612	0.4632828812
43	0.8098249319	0.4615831528
44	0.8106438785	0.4597550977
45	0.8168527625	0.4576434622
46	0.8143959225	0.4565584483
47	0.8181479665	0.4543397158
48	0.8197858598	0.4522373515
49	0.8167191945	0.4499473385
50	0.8165856265	0.4474838433
51	0.8170618839	0.4462594681
52	0.8161093692	0.4448477824
53	0.8165856265	0.4426385031
54	0.8178808305	0.4409459283
55	0.8178808305	0.4389682925
56	0.8178808305	0.4375307004
57	0.8182235199	0.4357614171
58	0.8206803599	0.4339642629
59	0.8206803599	0.4322506479
60	0.8198614132	0.4300829488
61	0.8198614132	0.4286622556
62	0.8190424665	0.427619717
63	0.8219755638	0.4262841179
64	0.8190424665	0.4250914688
65	0.8206803599	0.4241334586
66	0.8203376705	0.4229174932
67	0.8195187239	0.422002066
68	0.8224518212	0.4203877985
69	0.8224518212	0.4195583151
70	0.8224518212	0.4191245269
71	0.8208139278	0.4177438878
72	0.8212901852	0.416971823
73	0.8229280785	0.4156436016
74	0.8263374331	0.414170375
75	0.8255184865	0.4135274298
76	0.8279753265	0.4120967699
77	0.8274990691	0.4109585383
78	0.8287942731	0.4102768576
79	0.8296132198	0.4091771271
80	0.8262038652	0.4082671502
81	0.8322036278	0.4072584263
82	0.8347940357	0.4064620351
83	0.8330225744	0.4060104621
84	0.8330225744	0.4054487126
85	0.8338415211	0.404575207
86	0.8359556717	0.4035478757
87	0.8343177784	0.4029730555
88	0.8351367251	0.4023425004
89	0.8325463171	0.4017333868
90	0.8325463171	0.4007988536
91	0.8359556717	0.3999385171
92	0.8351367251	0.3988651217
93	0.8351367251	0.398052096
94	0.8367746184	0.3969948165
95	0.8385460797	0.396565842
96	0.8380698224	0.3956897172
97	0.8359556717	0.3952149349
98	0.8354794144	0.3945898735
99	0.8350031571	0.3935655136
100	0.8371173077	0.3930922627
101	0.8379362544	0.3927339513
102	0.8384125117	0.3917545744
103	0.8362983611	0.3910471761
104	0.8384125117	0.3903506446
105	0.8362983611	0.3896608266
106	0.8384125117	0.3889096748
107	0.8392314584	0.3883225936
108	0.8392314584	0.3878401787
109	0.8379362544	0.3869362018
110	0.8353458464	0.3859925478
111	0.8353458464	0.3858859816
112	0.8366410504	0.3850044044
113	0.8379362544	0.3839660086
114	0.8408693517	0.3835391369
115	0.8390978904	0.3828547224
116	0.8369837398	0.3822138876
117	0.8403930944	0.3813739897
118	0.842507245	0.3809930336
119	0.8420309877	0.3802933913
120	0.8441451384	0.3795579987
121	0.844964085	0.378834373
122	0.8433261917	0.3782221418
123	0.842507245	0.3777652786
124	0.8416882984	0.3773646389
125	0.8408693517	0.3769301383
126	0.8412120411	0.3765514011
127	0.8415547304	0.3761683353
128	0.8399168371	0.3759776615
129	0.8407357837	0.3752676666
130	0.8407357837	0.3744859088
131	0.8399168371	0.3737427149
132	0.8390978904	0.3734193519
133	0.8390978904	0.3732045985
134	0.8403930944	0.3728820527
135	0.8399168371	0.3725939598
136	0.8412120411	0.3719328777
137	0.8420309877	0.3716381172
138	0.8433261917	0.3711363014
139	0.8428499344	0.3704462515
140	0.8433261917	0.3701236112
141	0.8433261917	0.3700275266
142	0.8433261917	0.3694474377
143	0.8441451384	0.3690901497
144	0.8420309877	0.3687018052
145	0.8433261917	0.3684625764
146	0.8441451384	0.3678414258
147	0.844964085	0.3677123489
148	0.8457830317	0.3671972672
149	0.844964085	0.3669741064
150	0.8457830317	0.3669365301
151	0.844964085	0.3667948158
152	0.8454403424	0.3662116959
153	0.8454403424	0.3658314947
154	0.8428499344	0.3653428637
155	0.8428499344	0.3650519436
156	0.844964085	0.364982485
157	0.8441451384	0.3644575178
158	0.8433261917	0.3639716617
159	0.8420309877	0.3636938751
160	0.8420309877	0.3629826126
161	0.842507245	0.3623549327
162	0.842507245	0.3619460077
163	0.843802449	0.3617047684
164	0.8433261917	0.3612504646
165	0.8457830317	0.3607284546
166	0.8470782357	0.3605991564
167	0.844964085	0.3605188665
168	0.8457830317	0.360278545
169	0.8457830317	0.3599492103
170	0.8457830317	0.3598043646
