iter	Passed	Remaining
0	4	34277
1	7	25572
2	9	22514
3	12	21197
4	14	20425
5	17	20638
6	20	20673
7	23	20330
8	25	20175
9	28	20053
10	31	19717
11	37	21752
12	40	21634
13	42	21305
14	47	22063
15	50	22073
16	52	21722
17	55	21415
18	57	21066
19	59	20938
20	65	21658
21	68	21799
22	71	21570
23	73	21361
24	76	21253
25	80	21634
26	83	21524
27	85	21385
28	88	21225
29	90	21101
30	93	20983
31	96	20972
32	99	20907
33	101	20846
34	104	20753
35	106	20649
36	109	20519
37	111	20365
38	113	20301
39	116	20267
40	118	20176
41	121	20119
42	124	20103
43	127	20142
44	130	20131
45	133	20140
46	136	20170
47	145	21143
48	151	21452
49	155	21632
50	162	22200
51	166	22293
52	169	22257
53	176	22725
54	181	22897
55	188	23398
56	194	23714
57	198	23716
58	200	23573
59	206	23888
60	212	24153
61	215	24135
62	221	24404
63	224	24327
64	228	24369
65	231	24334
66	233	24195
67	239	24439
68	242	24346
69	245	24266
70	247	24184
71	251	24153
72	255	24205
73	257	24126
74	259	23991
75	262	23884
76	268	24111
77	271	24064
78	273	23974
79	276	23889
80	278	23791
81	283	23909
82	285	23813
83	288	23744
84	293	23842
85	295	23773
86	300	23909
87	304	23956
88	308	23945
89	312	23968
90	316	24056
91	319	23985
92	323	23998
93	326	23951
94	330	24042
95	333	23975
96	335	23896
97	339	23879
98	341	23814
99	344	23796
100	347	23733
101	349	23663
102	352	23598
103	354	23526
104	357	23455
105	360	23428
106	363	23409
107	365	23350
108	368	23280
109	370	23219
110	373	23167
111	375	23118
112	378	23071
113	381	23018
114	383	22972
115	387	22989
116	390	22982
117	393	22939
118	395	22893
119	398	22845
120	400	22794
121	403	22753
122	406	22739
123	409	22693
124	411	22643
125	414	22597
126	416	22563
127	421	22628
128	425	22686
129	429	22691
130	431	22641
131	434	22595
132	438	22657
133	441	22596
134	443	22529
135	445	22475
136	447	22413
137	449	22363
138	455	22466
139	457	22429
140	459	22376
141	462	22333
142	464	22287
143	467	22276
144	470	22236
145	472	22193
146	475	22147
147	477	22106
148	479	22068
149	483	22091
150	485	22040
151	488	21987
152	490	21933
153	493	21939
154	501	22152
155	505	22175
156	509	22223
157	517	22417
158	523	22544
159	526	22521
160	532	22603
161	537	22681
162	539	22649
163	542	22604
164	544	22575
165	547	22543
166	558	22836
167	570	23204
168	583	23575
169	595	23905
170	605	24182
171	619	24600
172	636	25111
173	648	25422
174	659	25716
175	668	25915
176	681	26284
177	694	26602
178	703	26799
179	717	27175
180	726	27361
181	733	27474
182	744	27723
183	747	27691
184	756	27881
185	765	28032
186	775	28268
187	785	28458
188	800	28865
189	814	29178
190	819	29197
191	824	29234
192	827	29178
193	829	29110
194	833	29074
195	836	29021
196	838	28955
197	842	28933
198	846	28924
199	860	29262
200	875	29610
201	880	29628
202	883	29581
203	886	29526
204	888	29458
205	891	29416
206	895	29396
207	906	29598
208	918	29841
209	925	29922
210	930	29932
211	939	30075
212	950	30297
213	961	30492
214	973	30729
215	984	30914
216	995	31115
217	1006	31304
218	1017	31507
219	1030	31752
220	1041	31934
221	1055	32232
222	1066	32418
223	1076	32575
224	1080	32534
225	1086	32573
226	1093	32617
227	1095	32548
228	1099	32500
229	1101	32430
230	1111	32564
231	1125	32820
232	1132	32884
233	1139	32960
234	1150	33118
235	1157	33186
236	1162	33183
237	1166	33149
238	1169	33089
239	1172	33019
240	1178	33039
241	1181	32989
242	1187	33028
243	1197	33144
244	1201	33114
245	1207	33145
246	1218	33306
247	1221	33263
248	1227	33270
249	1234	33339
250	1238	33289
251	1244	33334
252	1248	33282
253	1250	33210
254	1253	33144
255	1256	33096
256	1262	33112
257	1270	33197
258	1275	33201
259	1283	33282
260	1288	33280
261	1296	33335
262	1304	33405
263	1306	33345
264	1310	33315
265	1313	33257
266	1318	33242
267	1322	33230
268	1328	33251
269	1336	33315
270	1341	33300
271	1350	33398
272	1358	33467
273	1367	33570
274	1376	33651
275	1382	33679
276	1388	33707
277	1395	33753
278	1404	33842
279	1413	33927
280	1416	33880
281	1424	33927
282	1431	33966
283	1433	33894
284	1436	33856
285	1441	33831
286	1446	33838
287	1451	33818
288	1458	33867
289	1464	33880
290	1468	33867
291	1472	33825
292	1479	33873
293	1483	33835
294	1486	33778
295	1490	33756
296	1493	33707
297	1495	33642
298	1498	33582
299	1500	33519
300	1503	33456
301	1506	33419
302	1509	33363
303	1512	33310
304	1515	33260
305	1517	33201
306	1520	33151
307	1523	33102
308	1526	33046
309	1528	32990
310	1531	32937
311	1533	32881
312	1541	32928
313	1544	32887
314	1554	32983
315	1561	33031
316	1570	33111
317	1574	33082
318	1577	33028
319	1579	32979
320	1582	32921
321	1584	32867
322	1587	32813
323	1589	32755
324	1592	32698
325	1594	32644
326	1596	32588
327	1602	32605
328	1606	32582
329	1609	32535
330	1616	32561
331	1620	32555
332	1626	32570
333	1630	32550
334	1635	32529
335	1638	32490
336	1640	32441
337	1644	32415
338	1650	32438
339	1654	32416
340	1657	32357
341	1659	32309
342	1664	32300
343	1667	32261
344	1670	32225
345	1676	32235
346	1679	32199
347	1683	32185
348	1686	32144
349	1689	32094
350	1694	32099
351	1698	32080
352	1701	32038
353	1706	32031
354	1709	32001
355	1717	32057
356	1721	32026
357	1731	32126
358	1741	32211
359	1747	32237
360	1751	32214
361	1757	32234
362	1760	32180
363	1762	32135
364	1765	32088
365	1772	32130
366	1776	32112
367	1784	32160
368	1792	32211
369	1799	32247
370	1809	32330
371	1818	32398
372	1829	32499
373	1845	32693
374	1860	32869
375	1873	33004
376	1886	33133
377	1897	33248
378	1909	33365
379	1922	33491
380	1933	33589
381	1940	33610
382	1955	33789
383	1969	33924
384	1979	34010
385	1990	34110
386	2003	34242
387	2012	34298
388	2024	34404
389	2034	34484
390	2048	34631
391	2064	34794
392	2074	34879
393	2087	34999
394	2098	35086
395	2107	35153
396	2118	35240
397	2132	35365
398	2141	35429
399	2151	35504
400	2161	35568
401	2164	35522
402	2166	35469
403	2169	35424
404	2172	35380
405	2175	35337
406	2178	35290
407	2181	35239
408	2183	35188
409	2186	35144
410	2196	35219
411	2206	35285
412	2215	35337
413	2228	35444
414	2238	35523
415	2250	35611
416	2258	35661
417	2271	35773
418	2285	35900
419	2298	36005
420	2310	36107
421	2321	36189
422	2339	36367
423	2354	36514
424	2365	36588
425	2377	36689
426	2385	36720
427	2396	36795
428	2404	36827
429	2410	36837
430	2420	36895
431	2431	36965
432	2438	36982
433	2449	37060
434	2454	37047
435	2464	37096
436	2473	37148
437	2481	37170
438	2491	37242
439	2501	37294
440	2510	37344
