iter	Accuracy	Logloss
0	0.7214239818	0.6809930366
1	0.7789934579	0.6669917784
2	0.7809941707	0.6571405378
3	0.7769468115	0.6516315523
4	0.7660597438	0.6434506582
5	0.7686535112	0.6334824059
6	0.7854724711	0.6248410663
7	0.78158182	0.6159599596
8	0.7893806838	0.6053195376
9	0.7899913	0.5953070435
10	0.7875137123	0.5901249013
11	0.7936725586	0.5853031185
12	0.7865599623	0.5787580484
13	0.7857399536	0.5731087069
14	0.7846929908	0.5652225677
15	0.793463166	0.5603556789
16	0.7946263085	0.554270219
17	0.7905843547	0.5492039975
18	0.7920730694	0.5432864751
19	0.7965338084	0.5392376051
20	0.7987087907	0.5340348122
21	0.8004825494	0.5270897689
22	0.8010931656	0.5239685829
23	0.8010931656	0.5184118356
24	0.7963244159	0.5144009734
25	0.7983075671	0.5120585372
26	0.8015876021	0.5082643312
27	0.803971977	0.5044033705
28	0.8052688607	0.5012988093
29	0.8068507883	0.4987467385
30	0.8065076545	0.495699807
31	0.8054201634	0.4925239732
32	0.8045245033	0.4904374563
33	0.8045245033	0.4869615183
34	0.8085488956	0.4839350453
35	0.8089676808	0.4822780229
36	0.8096539483	0.4798361376
37	0.8078801896	0.4783663386
38	0.8100551719	0.4754025915
39	0.8087582882	0.4730355028
40	0.8078801896	0.4705021969
41	0.8099970821	0.4682112801
42	0.8074033146	0.4663618985
43	0.8048095472	0.4643015571
44	0.8074033146	0.4621176371
45	0.8098633408	0.4598555376
46	0.8097876895	0.4578865223
47	0.8110845732	0.4559963611
48	0.8132014657	0.4540638524
49	0.8106076982	0.4526548773
50	0.8095782969	0.4510380466
51	0.8135445994	0.4501186964
52	0.8140214744	0.4484549364
53	0.8132014657	0.4476819613
54	0.8071939221	0.446065449
55	0.8071939221	0.4439695835
56	0.810473957	0.4420769525
57	0.8071939221	0.4406994042
58	0.8084908058	0.4391339325
59	0.8096539483	0.4377846119
60	0.8096539483	0.4369008665
61	0.8117708407	0.4354745031
62	0.810950832	0.433737569
63	0.8117708407	0.4327324974
64	0.8117708407	0.4313786709
65	0.811427707	0.4293047578
66	0.8117708407	0.4283381791
67	0.8088339395	0.427480657
68	0.8101308233	0.4261659934
69	0.8093108145	0.4251024144
70	0.811427707	0.4245170469
71	0.8127245907	0.4236128277
72	0.8130677245	0.4214378753
73	0.8151846169	0.4200630575
74	0.8143646082	0.4195064283
75	0.8143646082	0.4189712226
76	0.8140214744	0.4174217808
77	0.8148414832	0.4167454204
78	0.8153183581	0.4155841837
79	0.8132014657	0.4146160767
80	0.8132014657	0.4140953844
81	0.8148414832	0.4130368687
82	0.8128583319	0.4122721601
83	0.8143646082	0.4116572659
84	0.8161383669	0.4107319943
85	0.8161383669	0.4104718723
86	0.8132014657	0.4097244304
87	0.8148414832	0.4087728063
88	0.8181215181	0.4076982924
89	0.8185983931	0.4067256995
90	0.8210584193	0.4056633466
91	0.822355303	0.4053211033
92	0.822355303	0.4046351015
93	0.8210584193	0.4037760039
94	0.8231753118	0.4029597999
95	0.822355303	0.4025518207
96	0.8194184018	0.4018778684
97	0.8194184018	0.4008847635
98	0.8197615356	0.3998932923
99	0.8202384106	0.3988009222
100	0.8189415269	0.3979645851
101	0.8239953205	0.3970885528
102	0.8226984368	0.396404724
103	0.8226984368	0.3958899138
104	0.8231753118	0.3954857018
105	0.8239953205	0.3949773515
106	0.825635338	0.3940348243
107	0.825635338	0.3936137665
108	0.8264553467	0.3931179266
109	0.825635338	0.3926771355
110	0.8264553467	0.3918298285
111	0.8280953642	0.3912866544
112	0.8280953642	0.3903273731
113	0.8293922479	0.389303
114	0.8277522305	0.3887963367
115	0.8277522305	0.3883824082
116	0.826112213	0.3876449606
117	0.8277522305	0.3869045632
118	0.8277522305	0.3866781565
119	0.8277522305	0.3865269771
120	0.8290491142	0.385964034
121	0.8274090967	0.3855925703
122	0.8274090967	0.3849052457
123	0.8274090967	0.3844940108
124	0.8311660066	0.3839505337
125	0.8290491142	0.3837683714
126	0.8298691229	0.3832973747
127	0.8298691229	0.3828124249
128	0.8328060241	0.3826908521
129	0.8323291491	0.3821628241
130	0.8336260329	0.3817441286
131	0.8328060241	0.3812628701
132	0.8344460416	0.3806376226
133	0.8344460416	0.3800736494
134	0.8344460416	0.3797716257
135	0.8344460416	0.3795376181
136	0.8344460416	0.379312915
137	0.8344460416	0.3787213319
138	0.8344460416	0.3784133732
139	0.8336260329	0.3778388171
140	0.8323291491	0.3772669466
141	0.8323291491	0.3770203876
142	0.8323291491	0.3764421409
143	0.8306891317	0.3761499623
144	0.8306891317	0.3758028418
145	0.8306891317	0.3754429211
146	0.8323291491	0.3751697885
147	0.8323291491	0.3747914692
148	0.8315091404	0.3743927949
149	0.8331491579	0.3738451092
150	0.8339691666	0.3735575937
151	0.8331491579	0.3731540109
152	0.8339691666	0.3726704673
153	0.8347891754	0.3719169735
154	0.8347891754	0.3716377441
155	0.8339691666	0.3710124787
156	0.8347891754	0.3707645497
157	0.8347891754	0.3705873982
158	0.8347891754	0.3703195215
159	0.8364291929	0.3696693619
160	0.8356091841	0.3693630913
161	0.8347891754	0.3688576016
162	0.8347891754	0.3686896278
163	0.8347891754	0.3684715075
164	0.8356091841	0.3681261986
165	0.8347891754	0.3677206324
166	0.8356091841	0.3675337295
167	0.8347891754	0.3669177915
168	0.8364291929	0.3667204273
169	0.8356091841	0.3665233267
170	0.8347891754	0.3662299134
171	0.8339691666	0.366044158
172	0.8360860591	0.3656272076
173	0.8352660504	0.3653638294
174	0.8360860591	0.3651298259
175	0.8352660504	0.3645399292
176	0.8344460416	0.3640249196
177	0.8360860591	0.3637446733
178	0.8352660504	0.3633806044
179	0.8360860591	0.3629830866
180	0.8360860591	0.3627109705
181	0.8377260766	0.3621599152
182	0.8360860591	0.3616286643
183	0.8360860591	0.3614824271
