iter	Passed	Remaining
404	5936	104000
405	5948	103937
406	5954	103780
407	5959	103589
408	5963	103386
409	5975	103336
410	5982	103180
411	5988	103021
412	5994	102870
413	6002	102745
414	6009	102589
415	6015	102443
416	6021	102286
417	6029	102147
418	6034	101978
419	6040	101825
420	6045	101656
421	6052	101513
422	6056	101328
423	6063	101193
424	6074	101117
425	6085	101054
426	6096	100982
427	6104	100873
428	6112	100755
429	6119	100623
430	6126	100485
431	6134	100359
432	6141	100234
433	6148	100100
434	6158	100022
435	6163	99862
436	6173	99775
437	6189	99791
438	6200	99734
439	6209	99630
440	6217	99521
441	6232	99516
442	6235	99332
443	6243	99221
444	6249	99077
445	6256	98953
446	6266	98869
447	6272	98741
448	6281	98636
449	6287	98510
450	6292	98350
451	6298	98215
452	6306	98111
453	6311	97960
454	6319	97854
455	6326	97733
456	6331	97572
457	6336	97423
458	6340	97260
459	6348	97159
460	6353	97018
461	6364	96955
462	6369	96802
463	6375	96669
464	6385	96600
465	6390	96466
466	6401	96401
467	6415	96389
468	6424	96309
469	6431	96205
470	6437	96074
471	6440	95905
472	6448	95804
473	6454	95675
474	6461	95557
475	6468	95452
476	6476	95354
477	6486	95292
478	6493	95179
479	6503	95109
480	6512	95034
481	6517	94901
482	6526	94823
483	6533	94710
484	6541	94621
485	6549	94523
486	6553	94379
487	6562	94290
488	6566	94146
489	6576	94085
490	6586	94020
491	6591	93886
492	6602	93844
493	6606	93701
494	6614	93600
495	6621	93505
496	6628	93400
497	6636	93307
498	6644	93226
499	6648	93085
500	6657	93004
501	6663	92896
502	6675	92855
503	6680	92729
504	6687	92636
505	6693	92521
506	6700	92425
507	6708	92339
508	6718	92278
509	6723	92147
510	6734	92104
511	6738	91965
512	6746	91884
513	6754	91807
514	6761	91708
515	6767	91599
