iter	Passed	Remaining
0	1	9741
1	2	9576
2	3	9224
3	5	9093
4	6	8806
5	7	8771
6	8	8632
7	9	8525
8	11	9048
9	12	9039
10	14	8994
11	15	8957
12	16	8908
13	17	8832
14	18	8755
15	19	8678
16	20	8618
17	22	8572
18	23	8519
19	24	8490
20	26	8785
21	29	9258
22	30	9255
23	32	9451
24	33	9445
25	35	9435
26	36	9387
27	37	9331
28	38	9258
29	39	9215
30	40	9176
31	42	9193
32	43	9202
33	44	9170
34	46	9175
35	47	9130
36	48	9122
37	49	9089
38	50	9060
39	51	9020
40	52	8984
41	54	8952
42	55	8939
43	56	8975
44	58	8984
45	59	8979
46	60	9018
47	62	9005
48	63	8979
49	64	8944
50	65	8921
51	68	9198
52	73	9644
53	76	9898
54	81	10295
55	88	10921
56	92	11272
57	97	11678
58	102	12053
59	108	12531
60	113	12869
61	117	13104
62	121	13425
63	125	13605
64	129	13847
65	131	13850
66	133	13809
67	138	14107
68	143	14409
69	145	14430
70	148	14521
71	152	14631
72	156	14802
73	161	15119
74	164	15149
75	169	15415
76	173	15584
77	174	15521
78	176	15482
79	178	15434
80	182	15581
81	185	15689
82	189	15777
83	191	15791
84	194	15827
85	196	15783
86	199	15841
87	203	15971
88	205	15964
89	208	15978
90	211	16059
91	214	16102
92	218	16224
93	221	16241
94	222	16189
95	224	16133
96	226	16096
97	227	16053
98	230	16093
99	233	16096
100	235	16058
101	236	16001
102	238	15943
103	239	15899
104	241	15850
105	242	15796
106	244	15756
107	250	15962
108	252	15992
109	255	15986
110	259	16117
111	262	16115
112	263	16068
113	265	16029
114	267	16000
115	268	15962
116	270	15938
117	273	15926
118	276	15993
119	278	15955
120	280	15921
121	281	15874
122	283	15867
123	286	15871
124	288	15855
125	291	15896
126	293	15884
127	295	15874
128	297	15860
129	299	15841
130	301	15809
131	304	15867
132	307	15898
133	309	15863
134	311	15844
135	313	15826
136	315	15805
137	317	15775
138	320	15798
139	323	15845
140	325	15816
141	328	15844
142	330	15842
143	332	15842
144	334	15811
145	336	15787
146	339	15809
147	342	15851
148	344	15851
149	346	15831
150	348	15813
151	350	15783
152	352	15775
153	354	15746
154	356	15725
155	357	15700
156	360	15695
157	362	15679
158	363	15654
159	366	15657
160	368	15669
161	371	15661
162	373	15656
163	375	15665
164	378	15695
165	380	15668
166	385	15770
167	388	15793
168	391	15814
169	393	15822
170	396	15818
171	400	15885
172	402	15893
173	404	15868
174	406	15872
175	409	15871
176	411	15844
177	413	15859
178	415	15843
179	417	15830
180	420	15856
181	424	15904
182	427	15925
183	430	15957
184	435	16052
185	437	16045
186	439	16027
187	441	16011
188	444	16008
189	446	16007
190	448	15994
191	455	16160
192	463	16358
193	469	16460
194	476	16641
195	480	16677
196	486	16806
197	490	16833
198	495	16933
199	498	16960
200	501	16959
201	503	16942
202	505	16928
203	508	16928
204	510	16908
205	512	16886
206	513	16864
207	515	16842
208	518	16847
209	520	16844
210	524	16866
211	526	16855
212	530	16890
213	533	16924
214	535	16904
215	539	16946
216	542	16963
217	544	16939
218	546	16921
219	548	16897
220	550	16887
221	552	16871
222	555	16894
223	558	16892
224	560	16880
225	562	16870
226	564	16848
227	568	16896
228	571	16890
229	573	16875
230	575	16860
231	577	16849
232	580	16848
233	582	16832
234	585	16848
235	587	16841
236	591	16866
237	593	16857
238	596	16868
239	598	16851
240	602	16889
241	606	16923
242	608	16919
243	612	16964
244	617	17014
245	619	17008
246	621	16996
247	623	16986
248	625	16971
249	628	16966
250	633	17028
251	635	17020
252	637	17004
253	639	16987
254	641	16974
255	643	16955
256	646	16961
257	650	16989
258	652	16990
259	654	16975
260	656	16958
261	658	16943
262	660	16930
263	665	16968
264	667	16962
265	669	16949
266	671	16930
267	673	16914
268	675	16894
269	678	16920
270	681	16934
271	683	16916
272	685	16893
273	687	16871
274	689	16850
275	692	16861
276	694	16851
277	696	16841
278	698	16830
279	700	16815
280	702	16798
281	704	16783
282	707	16782
283	709	16773
284	711	16767
285	715	16796
286	717	16793
287	719	16775
288	721	16755
289	723	16737
290	725	16734
291	727	16718
292	729	16702
293	731	16686
294	734	16690
295	736	16679
296	739	16684
297	741	16679
298	743	16665
299	745	16647
300	748	16661
301	750	16647
302	752	16633
303	754	16624
304	756	16610
305	758	16595
306	760	16579
307	762	16568
308	764	16555
309	766	16543
310	768	16527
311	770	16518
312	772	16509
313	775	16508
314	777	16500
315	779	16488
316	781	16469
317	784	16484
318	789	16541
319	795	16602
320	798	16614
321	803	16656
322	805	16649
323	807	16644
324	809	16628
325	811	16623
326	817	16675
327	819	16670
328	822	16676
329	825	16687
330	828	16690
331	830	16674
332	833	16682
333	839	16754
334	842	16758
335	844	16749
336	852	16851
337	856	16872
338	860	16906
