iter	Accuracy	Logloss
0	0.7230639993	0.6789691066
1	0.7828260192	0.6648829242
2	0.7828260192	0.6515692282
3	0.7828260192	0.6459064611
4	0.7936725586	0.63793704
5	0.7813899889	0.6297369393
6	0.7949694423	0.6201578339
7	0.7996801022	0.610623589
8	0.7988600934	0.6009055856
9	0.8016632534	0.5929500819
10	0.8000232359	0.5852411266
11	0.8007095035	0.5787363699
12	0.7996801022	0.5707853083
13	0.8005001109	0.5640985976
14	0.7996801022	0.5562631442
15	0.8046001546	0.5498188538
16	0.8024832622	0.543802781
17	0.8016632534	0.5405173501
18	0.8047338958	0.5358180754
19	0.8080139308	0.5302023746
20	0.8071939221	0.5251847572
21	0.8065833059	0.5198915049
22	0.810473957	0.5153431259
23	0.8078801896	0.5102672312
24	0.8078801896	0.5067515902
25	0.8129339833	0.5035024022
26	0.8061064309	0.4987474956
27	0.8098633408	0.4947457985
28	0.8098633408	0.4919029925
29	0.8106833496	0.4880267486
30	0.8110264834	0.4853976618
31	0.8139633846	0.4836370242
32	0.8117127509	0.4799218578
33	0.8138296433	0.4774365275
34	0.8143065183	0.4757693307
35	0.8169002858	0.47329729
36	0.8141727771	0.4698161765
37	0.8117127509	0.466693268
38	0.8108927421	0.4642463578
39	0.8121896259	0.4626354756
40	0.8134865096	0.4617394963
41	0.8169002858	0.4607513194
42	0.8147833933	0.4593869577
43	0.8169002858	0.4562414298
44	0.8164234108	0.4543988117
45	0.8172434195	0.4529903992
46	0.8164234108	0.4495014727
47	0.8185403032	0.44715207
48	0.8147833933	0.4450705273
49	0.815603402	0.4441871798
50	0.8175865533	0.4421801467
51	0.815603402	0.4410456217
52	0.8159465358	0.4404259818
53	0.8172434195	0.4384644325
54	0.8185403032	0.4376259177
55	0.815603402	0.4359114092
56	0.8164234108	0.4345752186
57	0.8151265271	0.433203721
58	0.8190171782	0.4319642813
59	0.8212678119	0.4309724346
60	0.8216109456	0.4300161634
61	0.8191509194	0.4282402834
62	0.8186740444	0.4264112628
63	0.8196277944	0.4250050162
64	0.8204478031	0.4235535304
65	0.8204478031	0.4220338366
66	0.8190171782	0.4211307376
67	0.8199709282	0.419501712
68	0.819360312	0.4184101266
69	0.8167665445	0.4176334866
70	0.8253678556	0.4162365956
71	0.818883437	0.4155182802
72	0.8258447306	0.414193323
73	0.8250247218	0.4136307338
74	0.8255015968	0.4129170291
75	0.8238615793	0.4113729626
76	0.8255015968	0.4104379392
77	0.8263216055	0.4093491307
78	0.8259784718	0.4085294058
79	0.8243384543	0.407408096
80	0.8246815881	0.4068138579
81	0.825635338	0.4055062095
82	0.8243384543	0.4046480553
83	0.8246815881	0.4041795832
84	0.8242047131	0.4034468515
85	0.8253678556	0.4021646339
86	0.8292585067	0.4010585293
87	0.828438498	0.4005515577
88	0.8263216055	0.3998980871
89	0.8250247218	0.3995428761
90	0.8250247218	0.3990193747
91	0.8250247218	0.3985608941
92	0.8258447306	0.3976258878
93	0.8266647393	0.3968754187
