iter	Logloss
0	0.6770046735
1	0.6632950607
2	0.6511519853
3	0.6393540175
4	0.6274096928
5	0.6163348682
6	0.6055904155
7	0.5963449158
8	0.5855961424
9	0.5758480355
10	0.5649736444
11	0.553795715
12	0.5439705638
13	0.5357158613
14	0.5285692507
15	0.5193781914
16	0.5098675393
17	0.501179633
18	0.4943941847
19	0.4876151947
20	0.481342041
21	0.4741840148
22	0.4684974712
23	0.4631611746
24	0.4574457508
25	0.4509022599
26	0.4452345454
27	0.4403158526
28	0.4342830644
29	0.4288994224
30	0.4248427254
31	0.4200373251
32	0.4160668595
33	0.4130682257
34	0.4078471772
35	0.4042531554
36	0.4006287526
37	0.3972790986
38	0.3939019289
39	0.3905064759
40	0.3873906382
41	0.3837145238
42	0.3801924525
43	0.3766601935
44	0.3743162544
45	0.3711446575
46	0.3676158323
47	0.3655457553
48	0.3628089538
49	0.3598071818
50	0.3569184294
51	0.3539462198
52	0.3516116042
53	0.3492402403
54	0.3466882724
55	0.343894802
56	0.3413853359
57	0.3396683256
58	0.3378785916
59	0.335577609
60	0.3330398994
61	0.3306347205
62	0.3287559126
63	0.3266242774
64	0.3248107571
65	0.322563851
66	0.3204000155
67	0.3184831403
68	0.3167170335
69	0.3149163387
70	0.3134132241
71	0.3118886199
72	0.3103223782
73	0.3089534089
74	0.3073724769
75	0.3057016522
76	0.3037315418
77	0.3022194902
78	0.3005872332
79	0.2989968867
80	0.2972997287
81	0.2960143757
82	0.2946098178
83	0.2934486045
84	0.2917357102
85	0.2904610452
86	0.2890354297
87	0.288205043
88	0.2866769823
89	0.2853975873
90	0.2840438769
91	0.2832742069
92	0.2817885114
93	0.2801107055
94	0.2794983988
95	0.2785345262
96	0.2771574159
97	0.2763590703
98	0.2754753802
99	0.2740216577
100	0.2729669374
101	0.2717664515
102	0.2707397928
103	0.269767529
104	0.2685411418
105	0.267566604
106	0.2665315996
107	0.2651111007
108	0.2642826015
109	0.2630443438
110	0.2617787749
111	0.2608388479
112	0.2599854025
113	0.2591421902
114	0.2582202736
115	0.2571329436
116	0.2557304097
117	0.2541256457
118	0.2532301761
119	0.2524686699
120	0.251668255
121	0.2505599357
122	0.2495677514
123	0.2485806836
124	0.2475348321
125	0.2465894701
126	0.2456328745
127	0.2446173131
128	0.243931464
129	0.2427715014
130	0.2416295946
131	0.240622629
132	0.2399895376
133	0.2391882586
134	0.2384545183
135	0.237706952
136	0.2366162792
137	0.235812294
138	0.2349437717
139	0.2342842788
140	0.2336352919
141	0.232815252
142	0.2318365755
143	0.2310446199
144	0.2306835714
145	0.229864805
146	0.2290670961
147	0.2283665114
148	0.2277723742
149	0.226946672
150	0.2259033446
151	0.2251668755
152	0.2246355017
153	0.2240860493
154	0.2235298885
155	0.2227294054
156	0.2223181916
157	0.2216142867
158	0.2210042995
159	0.2204588039
160	0.2195034362
161	0.2189081847
162	0.2184272718
163	0.2180226981
164	0.2173674804
165	0.2170162784
166	0.2162412871
167	0.2158557472
168	0.2152450323
169	0.2145429467
170	0.2140446601
171	0.2133587428
172	0.2127601712
173	0.2121455677
174	0.2116724774
175	0.2112825941
176	0.2109515628
177	0.2105122192
178	0.209737046
179	0.208946978
180	0.2082428684
181	0.2076502776
182	0.206790715
183	0.205984524
184	0.2055361525
185	0.2049054943
186	0.2042387699
187	0.2035891917
188	0.2026991571
189	0.2022045771
190	0.2017002871
191	0.2015292796
192	0.2009680477
193	0.2002884068
194	0.1997077774
195	0.1993784971
196	0.1989050429
197	0.198339081
198	0.197591924
199	0.1972920697
200	0.1967140782
201	0.1961987818
202	0.1955582315
203	0.1950805022
204	0.1946223068
205	0.1940206426
206	0.1936776271
207	0.1930461503
208	0.1926450105
209	0.1922361617
210	0.1919310089
211	0.1916277208
212	0.1908570957
213	0.190416797
214	0.1900035821
215	0.1896915617
216	0.1892704445
217	0.1886518159
218	0.1882161562
219	0.1876685913
220	0.1874037685
221	0.1869140778
222	0.1865209425
223	0.1862176317
224	0.1856810504
225	0.1853111899
226	0.1848757917
227	0.1845063065
228	0.1838564327
229	0.1834843323
230	0.1830009634
231	0.1825156842
232	0.1821359658
233	0.1816653542
234	0.1814016344
235	0.1811178461
236	0.1805006616
237	0.1801907106
238	0.1796908663
239	0.1792947407
240	0.1788184668
241	0.1785208638
242	0.1780882058
243	0.1775158425
244	0.1768870149
245	0.1761240079
246	0.1758129312
247	0.1751010786
248	0.1747990526
249	0.1743212437
250	0.1736240813
251	0.173051104
252	0.1727888168
253	0.1723362952
254	0.1719740186
255	0.1714420308
256	0.1711725008
257	0.1703612501
258	0.1696753328
259	0.1693976162
260	0.1690070052
261	0.1683483764
262	0.1679930129
263	0.1677062116
264	0.1673829347
265	0.1671347351
266	0.1667954718
267	0.1664897164
268	0.166091908
269	0.1655785787
270	0.1651281605
271	0.1648303756
272	0.1645268374
273	0.164091587
274	0.1638704712
275	0.1634481033
276	0.1630958325
277	0.162742925
278	0.1622980327
279	0.1620216237
280	0.1613782991
281	0.1610965803
282	0.160852167
283	0.1603871381
284	0.1601337424
285	0.1598288397
286	0.1595580704
287	0.1591474705
288	0.1586765861
289	0.1584491598
290	0.1581310109
291	0.1577749311
292	0.1573641153
293	0.1570091156
294	0.1565923986
295	0.1560657889
296	0.1559075388
297	0.1556091172
298	0.1551312173
299	0.1548532847
300	0.1546280643
301	0.1542525755
302	0.1539813173
303	0.153644942
304	0.1531073487
305	0.1529607075
306	0.1526932127
307	0.1522741762
308	0.151848511
309	0.1514140224
310	0.1512130318
311	0.1508297318
312	0.1506188719
313	0.1503181876
314	0.1498216065
315	0.1495871534
316	0.1490705836
317	0.1487184947
