iter	Accuracy	Logloss
0	0.723512502	0.6807481162
1	0.7517588999	0.6704476111
2	0.7433088915	0.6588330478
3	0.7585283624	0.6488387182
4	0.7593483711	0.635080296
5	0.7646115573	0.6251142962
6	0.7751379298	0.6161222834
7	0.7764348135	0.608027594
8	0.775748546	0.5982194755
9	0.775748546	0.5931393505
10	0.7772548222	0.5855200458
11	0.7852455171	0.5768589645
12	0.778074831	0.5715813951
13	0.780877991	0.5662987372
14	0.7914043634	0.5592342797
15	0.7898980871	0.5560429066
16	0.7897643459	0.5521618207
17	0.7858736948	0.5474155198
18	0.7851874272	0.5432244436
19	0.7829367936	0.5388043617
20	0.7946843984	0.5347416387
21	0.8021225669	0.5291720358
22	0.7991856657	0.5249837746
23	0.7963244159	0.5215006999
24	0.7933118633	0.5171591943
25	0.797411907	0.5132560462
26	0.7972781658	0.5091540733
27	0.7991275759	0.5060360162
28	0.8011107271	0.5013081467
29	0.803495102	0.4974695474
30	0.8040476283	0.4956009575
31	0.7987844421	0.4920863388
32	0.806298262	0.4887803149
33	0.8041813695	0.4874734313
34	0.805821387	0.4847404916
35	0.8069845295	0.481359238
36	0.8078045382	0.4777973544
37	0.8082814132	0.4752688702
38	0.8095782969	0.4729536906
39	0.8074614045	0.470574546
40	0.8103983057	0.4682015
41	0.8103983057	0.4660678523
42	0.8126489393	0.4636228183
43	0.8151089656	0.4625262329
44	0.8152427068	0.4600613638
45	0.8231577503	0.4583002943
46	0.8223377415	0.4570172977
47	0.8265715265	0.4547437413
48	0.8273915352	0.4528427065
49	0.8257515177	0.4518712382
50	0.8282115439	0.4500351974
51	0.8265715265	0.4491589379
52	0.8260946515	0.4482797526
53	0.8273915352	0.4473101377
54	0.8256177765	0.4461263556
55	0.8273915352	0.4441972138
56	0.8260946515	0.4430871072
57	0.8298515614	0.4412159378
58	0.8286884189	0.4397627369
59	0.8295084277	0.4390428066
60	0.8298515614	0.4374713778
61	0.8285546777	0.4361376266
62	0.8285546777	0.4346915622
63	0.827734669	0.4337840133
64	0.8282115439	0.4328879385
65	0.8301946952	0.4321139024
66	0.8301946952	0.4312609386
67	0.8293746865	0.4298934598
68	0.8280778027	0.4284364807
69	0.8280778027	0.4279517916
70	0.8288978115	0.4267132268
71	0.8280778027	0.4251251241
72	0.827257794	0.4239992397
73	0.8264377853	0.4228520481
74	0.8290315527	0.4218544912
75	0.8290315527	0.4212945611
76	0.8298515614	0.4206588669
77	0.8298515614	0.4200995438
78	0.8306715702	0.4194332385
79	0.8314915789	0.4183371358
80	0.8301946952	0.4179058054
81	0.8306715702	0.4173778542
82	0.8306715702	0.415861811
83	0.8323115877	0.4148136948
84	0.8314915789	0.4141790843
85	0.8339516051	0.4134924715
86	0.8331315964	0.413038891
87	0.8326547214	0.4124184781
88	0.8326547214	0.4113788657
89	0.8334747302	0.4107439333
90	0.8326547214	0.4095785323
91	0.8334747302	0.4086956123
92	0.8321778464	0.4078612196
93	0.8342947389	0.4066943289
94	0.8342947389	0.4061074276
95	0.8329978552	0.4052709208
96	0.8329978552	0.404925167
97	0.8329978552	0.4045432651
98	0.8321778464	0.4040254158
99	0.8308809627	0.4031966498
100	0.8317009715	0.4025876525
101	0.8308809627	0.4018258552
102	0.8329978552	0.4012510113
103	0.8325209802	0.4008437068
104	0.833340989	0.4001469988
105	0.8320441052	0.3989542563
106	0.832864114	0.3984043794
107	0.8307472215	0.397760128
108	0.8336841227	0.3969365506
109	0.832864114	0.3961175999
110	0.832864114	0.3958938466
111	0.832387239	0.3953740787
112	0.832387239	0.3946251844
113	0.832387239	0.3940177761
114	0.832387239	0.3935497879
115	0.832387239	0.3931832954
116	0.8297934716	0.3925787299
117	0.8297934716	0.3923374573
118	0.8306134803	0.3920332088
119	0.8301366053	0.3915983544
120	0.8322534978	0.3910267448
121	0.8325966316	0.3906355944
122	0.8317766228	0.3900357609
123	0.8322534978	0.3894062308
124	0.8322534978	0.3890523601
125	0.8330735065	0.3884956777
126	0.8330735065	0.3879749573
127	0.8330735065	0.3877734804
128	0.8330735065	0.3876461371
129	0.8343703903	0.3872822352
130	0.8330735065	0.3869132894
131	0.8330735065	0.3865675282
132	0.8322534978	0.386007068
133	0.8306134803	0.3855281372
134	0.8322534978	0.3851771669
135	0.8314334891	0.3847610973
136	0.8330735065	0.3844964969
137	0.8335503815	0.3840350905
138	0.8330735065	0.383667629
139	0.8335503815	0.3832164647
140	0.8332072477	0.3828153009
141	0.8345041315	0.3825096537
142	0.8332072477	0.3821469406
143	0.8348472652	0.3815578519
144	0.835667274	0.3812684664
145	0.835667274	0.3806471578
146	0.835667274	0.380273973
147	0.8343703903	0.3798173409
148	0.8343703903	0.3795123877
149	0.8343703903	0.3794196722
150	0.8343703903	0.3793305973
151	0.8343703903	0.3792489786
152	0.835190399	0.3788586308
153	0.8343703903	0.3783079987
154	0.835190399	0.37812421
155	0.835190399	0.3778931869
156	0.8364872827	0.3774180083
157	0.8364872827	0.3769641246
158	0.8364872827	0.3767536166
159	0.8364872827	0.3762831871
160	0.8364872827	0.3755512746
161	0.8364872827	0.3751204708
162	0.8364872827	0.3749466564
