iter	Passed	Remaining
0	3	24631
1	6	23641
2	11	26306
3	13	24292
4	16	23196
5	18	22052
6	21	21405
7	23	20887
8	30	23990
9	39	27272
10	47	30452
11	57	33223
12	65	34941
13	68	33966
14	76	35668
15	85	37353
16	91	37459
17	94	36527
18	105	38616
19	113	39499
20	116	38650
21	119	37788
22	121	36909
23	124	36191
24	127	35494
25	129	34810
26	132	34329
27	135	33708
28	137	33110
29	140	32718
30	143	32355
31	152	33288
32	160	33818
33	165	33942
34	169	33813
35	173	33475
36	181	34102
37	188	34489
38	191	34265
39	194	33840
40	196	33414
41	199	33038
42	201	32613
43	203	32247
44	206	31865
45	208	31486
46	210	31102
47	212	30752
48	214	30453
49	217	30175
50	219	29853
51	221	29548
52	223	29250
53	225	29013
54	228	28823
55	230	28593
56	232	28334
57	236	28343
58	241	28353
59	246	28494
60	251	28580
61	254	28465
62	257	28336
63	262	28405
64	267	28521
65	270	28426
66	272	28217
67	280	28572
68	282	28408
69	286	28406
70	291	28439
71	296	28500
72	298	28299
73	300	28119
74	302	27961
75	305	27787
76	311	28011
77	315	27981
78	321	28161
79	325	28163
80	329	28137
81	334	28182
82	342	28505
83	345	28468
84	348	28316
85	351	28298
86	356	28355
87	359	28211
88	361	28089
89	363	27945
90	366	27854
91	373	28052
92	379	28183
93	383	28145
94	389	28281
95	397	28612
96	400	28514
97	404	28513
98	408	28503
99	413	28528
100	418	28593
101	421	28473
102	423	28386
103	426	28267
104	428	28153
105	431	28040
106	437	28180
107	439	28069
108	443	28044
109	446	27966
110	453	28139
111	457	28119
112	459	28020
113	463	27977
114	466	27930
115	469	27856
116	471	27764
117	474	27650
118	476	27541
119	483	27692
120	486	27630
121	488	27540
122	490	27440
123	493	27346
124	496	27291
125	498	27200
126	500	27112
127	503	27013
128	505	26946
129	508	26870
130	514	26976
131	520	27069
132	525	27120
133	529	27151
134	534	27178
135	540	27278
136	545	27342
137	551	27406
138	554	27375
139	559	27427
140	562	27384
141	566	27340
142	568	27268
143	571	27192
144	573	27108
145	575	27031
146	578	26954
147	580	26880
148	582	26806
149	585	26733
150	588	26712
151	593	26723
152	596	26704
153	599	26647
154	603	26634
155	605	26581
156	608	26514
157	610	26447
158	613	26378
159	615	26310
160	619	26315
161	622	26270
162	624	26202
163	628	26191
164	631	26155
165	637	26248
166	643	26333
167	647	26344
168	657	26588
169	678	27261
170	691	27613
171	704	27972
172	717	28329
173	736	28903
174	748	29187
175	760	29472
176	771	29723
177	784	30070
178	800	30504
179	811	30762
180	821	30945
181	830	31105
182	839	31289
183	846	31343
184	855	31522
185	865	31698
186	872	31786
187	904	32778
188	914	32965
189	926	33216
190	934	33314
191	938	33294
192	948	33448
193	952	33402
194	961	33539
195	970	33678
196	979	33808
197	986	33878
198	994	33976
199	1003	34128
200	1011	34198
